id,year,component,bug_class,affected_function,trigger,poc,fix_commit,fixed_in,alloc_arena,cheri_expectation,rationale,sqlite_assessment,verification,source,notes
CVE-2020-35525,2020,select processing (INTERSECT) || flattener/optimizer || core,null-deref,"(3.31.1 null pointer dereference, function not named by Debian)",plain-SQL,,https://www.sqlite.org/src/info/a67cf5b7d37d5b14 || 5f69512404cd2e5153ddf90ea277fbba6dd58ab7,3.32.0,lookaside,BLINDSPOT-candidate,select processing is core parse/query machinery,Not in the sqlite.org/cves.html table.,arena-inferred-from-file,https://nvd.nist.gov/vuln/detail/CVE-2020-35525 || https://security-tracker.debian.org/tracker/CVE-2020-35525,"CVSS 7.5 (V31) | CWE-476 | NVD: In SQlite 3.31.1, a potential null pointer derreference was found in the INTERSEC query processing. | NULL pointer dereference in INTERSECT query processing, found in 3.31.1. | refs: https://www.sqlite.org/src/info/a67cf5b7d37d5b14 https://security.netapp.com/advisory/ntap-20230706-0007/ || 'In SQlite 3.31.1, a potential null pointer derreference was found in the INTERSEC query processing.' [sic]. Compound-SELECT processing. Thin entry, no function or fix reference. The flattener and the WHERE-clause optimizer are CORE and present in every build including ours. Our silicon build additionally OMITs some individual optimizations (LIKE/OR/BETWEEN/TRUNCATE/XFER) but NOT the flattener, so this component is reachable in our binary. || Debian: fossil a67cf5b7d37d5b14, git mirror 5f69512404cd2e5153ddf90ea277fbba6dd58ab7 (version-3.32.0)."
CVE-2020-24736,2020,core (window functions),stack-overflow,window-function code path,plain-SQL,,https://www.sqlite.org/src/info/4feb3159c6bc3f7e33959 || f030b376820102ff6cda49565c8b8173b2d44606,3.28.0,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",,arena-inferred-from-file,https://nvd.nist.gov/vuln/detail/CVE-2020-24736 || https://security-tracker.debian.org/tracker/CVE-2020-24736,"CVSS 5.5 (V31) | CWE-120 | NVD: Buffer Overflow vulnerability found in SQLite3 v.3.27.1 and before allows a local attacker to cause a denial of service via a crafted script. | CWE-120 ""buffer overflow ... DoS via crafted script"" in <=3.27.1; details sparse; sqlite.org check-in linked from NVD refs. | refs: https://www.sqlite.org/src/info/4feb3159c6bc3f7e33959 https://security.netapp.com/advisory/ntap-20230526-0005/ || Debian names TWO branch commits: f030b376820102ff6cda49565c8b8173b2d44606 (version-3.28.0) and 7bcb9e51e7dcb38d545e83065d17e669f5b804bf (version-3.27.2), plus fossil 4feb3159c6bc3f7e33959. 'v3.27.1 and before'. sqlite(v2) not-affected (window functions absent). bug_class inferred from the window-function recursion fix; NVD only says 'Buffer Overflow'."
CVE-2020-15358,2020,core (query flattener) || select.c (query flattener) || flattener/optimizer || core (select.c),heap OOB read || heap-oob-read,read past end of a heap buffer || multiSelectOrderBy || query-flattener optimization / multiSelectOrderBy in select.c,plain-SQL,,https://www.sqlite.org/src/info/10fa79d00f8091e5,3.32.3 (2020-06-18),lookaside,BLINDSPOT-candidate,"if the buffer is a lookaside slot the capability spans the whole pool (blind); if its own malloc the bounds trap it | arena read from source, see sqlite-arenas.md",Malicious SQL statement causes a read past the end of a heap buffer. || Heap buffer read past end from malicious SQL; fixed in 3.32.3. || 'Malicious SQL statement causes a read past the end of a heap buffer.',arena-verified-by-component,seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2020-15358 || https://sqlite.org/cves.html || https://security-tracker.debian.org/tracker/CVE-2020-15358,"Details link https://sqlite.org/src/info/8f157e8010b22af0 is a fossil ticket (login-walled to anonymous access); fix check-in not directly named on cves.html. || CVSS 5.5 (V31) | CWE-787 | NVD: In SQLite before 3.32.3, select.c mishandles query-flattener optimization, leading to a multiSelectOrderBy heap overflow because of misuse of transitive properties for constant propagation. | NVD tags CWE-787 (write) and says ""heap overflow""; vendor page says heap buffer over-READ - direction disputed. | refs: https://www.sqlite.org/src/info/10fa79d00f8091e5 https://www.sqlite.org/src/timeline?p=version-3.32.3&bt=version-3.32.2 https://www.sqlite.org/src/tktview?name=8f157e8010 https://support.apple.com/kb/HT211843 https://support.apple.com/kb/HT211844 https://support.apple.com/kb/HT211847 https://support.apple.com/kb/HT211850 https://support.apple.com/kb/HT211931 || THE flagship flattener memory bug: 'select.c mishandles query-flattener optimization, leading to a multiSelectOrderBy heap overflow because of misuse of transitive properties for constant propagation'. NVD says 'heap overflow', upstream says 'read past the end' -- read, not write. The flattener and the WHERE-clause optimizer are CORE and present in every build including ours. Our silicon build additionally OMITs some individual optimizations (LIKE/OR/BETWEEN/TRUNCATE/XFER) but NOT the flattener, so this component is reachable in our binary. || Fossil 10fa79d00f8091e5; ticket 8f157e8010. NOT-AFFECTED: stretch, jessie <not-affected> (vulnerable code introduced in 3.25.0); sqlite v2 not-affected (multiSelectOrderBy not present, PoC does not crash)."
CVE-2020-13871,2020,core (parse tree) || select.c (window functions) || core (select.c),use-after-free (read),parse-tree object freed too early || resetAccumulator || resetAccumulator (select.c),plain-SQL,,https://www.sqlite.org/src/info/79eff1d0383179c4 || 6e6b3729e0549de028f6c5bf494b2d69d621c81b61a1dc0a329d3950039342fb (branch-3.32 cherry-pick 44a58d6cb135a104),3.32.3 (2020-06-18),lookaside,BLINDSPOT-candidate,"same arena argument as CVE-2019-5018 | arena read from source, see sqlite-arenas.md",Malicious SQL statement causes a read-only use-after-free memory error. || Read-only use-after-free from malicious SQL; fixed in 3.32.3. || 'Malicious SQL statement causes a read-only use-after-free memory error.',arena-verified-by-component,seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2020-13871 || https://sqlite.org/cves.html || https://security-tracker.debian.org/tracker/CVE-2020-13871,"Read-only UAF. Details link https://sqlite.org/src/info/c8d3b9f0a750a529 is a fossil ticket (login-walled); fix check-in not directly named. || CVSS 7.5 (V31) | CWE-416 | NVD: SQLite 3.32.2 has a use-after-free in resetAccumulator in select.c because the parse tree rewrite for window functions is too late. | Parse-tree rewrite for window functions happens too late. | refs: https://www.sqlite.org/src/info/79eff1d0383179c4 https://www.sqlite.org/src/info/c8d3b9f0a750a529 https://www.sqlite.org/src/info/cd708fa84d2aaaea https://cert-portal.siemens.com/productcert/pdf/ssa-389290.pdf https://lists.debian.org/debian-lts-announce/2020/08/msg00037.html https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/BN32AGQPMHZRNM6P6L5GZPETOWTGXOKP/ https://security.gentoo.org/glsa/202007-26 https://security.netapp.com/advisory/ntap-20200619-0002/ || 'because the parse tree rewrite for window functions is too late' -- the rewrite frees/replaces nodes that resetAccumulator still points at. Read-only UAF per upstream. Window functions are CORE (added 3.25.0), present in a default build. In our Capstone build they ARE compiled in: build-sqlite-silicon.sh documents that -DSQLITE_OMIT_WINDOWFUNC does not even compile against the prebuilt amalgamation, so it is not applied. This is one of the few components in this survey that is actually reachable in our binary. || Debian lists a chain: 'Fixed by' 79eff1d0383179c4, c8d3b9f0a750a529, cd708fa84d2aaaea and a later 'New fix' 44a58d6cb135a104 -- the first fix was incomplete, which matters for reproduction. Affects 3.32.2. buster and jessie <not-affected> (vulnerability introduced later / code not present). || CAUTION: NVD's cited patch 79eff1d0383179c4 was ABANDONED on a branch that never shipped -- do not cite it as the fix. The shipped fix is 6e6b3729e0549de0 (2020-06-08): 'When an Expr object is changed and that Expr is referenced by an AggInfo, then also update the AggInfo. Also, persist all AggInfo objects until the Parse object is destroyed. This is a new fix for ticket c8d3b9f0a750a529 that avoids the follow-on problems identified by tickets 0899cf62f597d7e7, 1f6f353b684fc708, e5504e987e419fb0 and f7d890858f361402.' That message names FOUR follow-on tickets, i.e. this took three attempts to get right. THE STRUCTURAL PATTERN, which is the most useful thing in this file: across every core subsystem here the memory errors cluster where THE OPTIMIZER REWRITES A PARSE TREE THAT SOMETHING ELSE STILL HOLDS A POINTER INTO. AggInfo-vs-Expr lifetime accounts for CVE-2020-11655, CVE-2020-13871, CVE-2021-20227 and CVE-2025-6965; window-rewrite error propagation accounts for CVE-2019-19924 and CVE-2019-19926; the flattener deleting nodes others reference accounts for CVE-2020-15358. Upstream's eventual fix here is literally 'persist all AggInfo objects until the Parse object is destroyed' -- i.e. solve a dangling-pointer problem by extending a lifetime, which is precisely the design a temporal-safety mechanism would make unnecessary. PoC in test/window1.test. Window functions are CORE and compiled into our build (-DSQLITE_OMIT_WINDOWFUNC does not compile against the prebuilt amalgamation), so this component IS reachable in our binary."
CVE-2020-13632,2020,FTS3 matchinfo() || fts3 extension || fts3/fts4 || requires-extension:FTS3,NULL dereference || null-deref,matchinfo() || matchinfo (ext/fts3/fts3_snippet.c) || fts3_snippet.c (snippet feature),plain-SQL || requires-extension:fts3,strange matchinfo() query against an FTS3 table,https://sqlite.org/src/info/a4dd148928ea65bd,3.32.0 (2020-05-22),n/a,N/A-both-trap,same,"Malicious SQL statement causes a read of a NULL pointer in the matchinfo() SQL function of the FTS3 extension, resulting in denial of service. || NULL pointer read in FTS3 matchinfo(); fixed in 3.32.0. || 'Malicious SQL statement causes a read of a NULL pointer in the matchinfo() SQL function of the FTS3 extension, resulting in denial of service.'",sqlite.org-assessed,seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2020-13632 || https://sqlite.org/cves.html || https://security-tracker.debian.org/tracker/CVE-2020-13632,"Fix check-in a4dd148928ea65bd 'Fix a null pointer deference that can occur on a strange matchinfo() query' (2020-05-14). NULL-deref listed on sqlite.org's own vulnerability table; rated DoS-only. || CVSS 5.5 (V31) | CWE-476 | NVD: ext/fts3/fts3_snippet.c in SQLite before 3.32.0 has a NULL pointer dereference via a crafted matchinfo() query. | Crafted matchinfo() query. | refs: https://sqlite.org/src/info/a4dd148928ea65bd https://bugs.chromium.org/p/chromium/issues/detail?id=1080459 https://cert-portal.siemens.com/productcert/pdf/ssa-389290.pdf https://lists.debian.org/debian-lts-announce/2020/08/msg00037.html https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/L7KXQWHIY2MQP4LNM6ODWJENMXYYQYBN/ https://security.FreeBSD.org/advisories/FreeBSD-SA-20:22.sqlite.asc https://security.gentoo.org/glsa/202007-26 https://security.netapp.com/advisory/ntap-20200608-0002/ || Crafted matchinfo() query. FTS3/FTS4 need -DSQLITE_ENABLE_FTS3 (+ SQLITE_ENABLE_FTS3_PARENTHESIS) or -DSQLITE_ENABLE_FTS4; absent from a stock amalgamation build. Not in a default build and NOT in our Capstone build: capstone/benchmarks/sqlite/build-sqlite-capstone.sh passes no -DSQLITE_ENABLE_* for it. Shadow tables (%_content/%_segdir/%_segments/%_stat) are ordinary writable tables to SQL until SQLITE_DBCONFIG_DEFENSIVE (3.26.0+) makes them read-only -- that is the whole FTS3 attack surface. || Debian: fossil a4dd148928ea65bd, git mirror 219b8e7e7587df8669d96ce867cdd61ca1c05730. Found by Chromium fuzzing (crbug 1080459). jessie <not-affected>; sqlite v2 not-affected (FTS absent)."
CVE-2020-13631,2020,core (ALTER TABLE / virtual tables) || fts3/fts4 || core (alter.c),infinite loop / DoS || type-confusion,alter.c / build.c (virtual-table rename) || virtual table rename (a vtab can be renamed to the name of one of its shadow tables),plain-SQL,,eca0ba2cf4c0fdf7,3.32.0 (2020-05-22),n/a,N/A-logic,no memory-safety component,'Malicious SQL statement (an ALTER TABLE that tries to rename a virtual table into one of its own shadow tables) causes an infinite loop and denial of service.',sqlite.org-assessed,seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://sqlite.org/cves.html || https://security-tracker.debian.org/tracker/CVE-2020-13631,"Excluded class: infinite loop / DoS, not a memory-safety bug. Fix check-in eca0ba2cf4c0fdf7 'Do not allow a virtual table to be renamed into the name of one of its shadows'. || bug_class deliberately left empty: an infinite loop is NOT one of the memory-safety classes. Kept as an entry because it is squarely on the shadow-table attack surface this survey was asked to cover, and it documents that not every shadow-table CVE is a memory error. FTS3/FTS4 need -DSQLITE_ENABLE_FTS3 (+ SQLITE_ENABLE_FTS3_PARENTHESIS) or -DSQLITE_ENABLE_FTS4; absent from a stock amalgamation build. Not in a default build and NOT in our Capstone build: capstone/benchmarks/sqlite/build-sqlite-capstone.sh passes no -DSQLITE_ENABLE_* for it. Shadow tables (%_content/%_segdir/%_segments/%_stat) are ordinary writable tables to SQL until SQLITE_DBCONFIG_DEFENSIVE (3.26.0+) makes them read-only -- that is the whole FTS3 attack surface. || Fossil eca0ba2cf4c0fdf7. crbug 1080459. Debian IGNORED in buster/stretch/jessie: 'Minor issue, too intrusive to backport' -- useful signal that the fix is invasive. bug_class is the shadow-table confusion, not a classic memory-safety primitive; treat as adjacent."
CVE-2020-13630,2020,FTS3 snippet() || fts3 extension || fts3/fts4 || requires-extension:FTS3,use-after-free (read),"Fts3Phrase / cursor object || snippet() || fts3EvalNextRow || fts3EvalNextRow (ext/fts3/fts3.c), snippet feature",plain-SQL || requires-extension:fts3,query using the FTS3 snippet() SQL function,https://sqlite.org/src/info/0d69f76f0865f962,3.32.0 (2020-05-22),direct-malloc,CAUGHT-temporal,"FTS3 runtime objects go through sqlite3_malloc; a real free() makes the region visible to revocation | arena read from source, see sqlite-arenas.md","Malicious SQL statement causes a read-only use-after-free, possibly resulting in an incorrect output from the snippet() SQL function of the FTS3 extension. There is no known way to exfiltrate data or crash the application using this bug. || Read-only use-after-free in FTS3 snippet() feature; fixed in 3.32.0. || 'Malicious SQL statement causes a read-only use-after-free, possibly resulting in an incorrect output from the snippet() SQL function of the FTS3 extension. There is no known way to exfiltrate data or crash the application using this bug.'",arena-verified-by-component,seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2020-13630 || https://sqlite.org/cves.html || https://security-tracker.debian.org/tracker/CVE-2020-13630,"Read-only UAF; no known way to exfiltrate data or crash. Fix check-in 0d69f76f0865f962 'Fix a use-after-free bug in the fts3 snippet() function' (2020-05-16). || CVSS 7.0 (V31) | CWE-416 | NVD: ext/fts3/fts3.c in SQLite before 3.32.0 has a use-after-free in fts3EvalNextRow, related to the snippet feature. | refs: https://sqlite.org/src/info/0d69f76f0865f962 https://bugs.chromium.org/p/chromium/issues/detail?id=1080459 https://support.apple.com/kb/HT211843 https://support.apple.com/kb/HT211844 https://support.apple.com/kb/HT211850 https://support.apple.com/kb/HT211931 https://support.apple.com/kb/HT211935 https://support.apple.com/kb/HT211952 || Read-only UAF in ext/fts3/fts3.c reached through the snippet() feature. Fix check-in https://sqlite.org/src/info/0d69f76f0865f962. Good example of the gap between the CVE ('use-after-free', CVSS-high) and the upstream assessment ('no known way to ... crash'). FTS3/FTS4 need -DSQLITE_ENABLE_FTS3 (+ SQLITE_ENABLE_FTS3_PARENTHESIS) or -DSQLITE_ENABLE_FTS4; absent from a stock amalgamation build. Not in a default build and NOT in our Capstone build: capstone/benchmarks/sqlite/build-sqlite-capstone.sh passes no -DSQLITE_ENABLE_* for it. Shadow tables (%_content/%_segdir/%_segments/%_stat) are ordinary writable tables to SQL until SQLITE_DBCONFIG_DEFENSIVE (3.26.0+) makes them read-only -- that is the whole FTS3 attack surface. || Debian: fossil 0d69f76f0865f962, git mirror becd68ba0dac41904aa817d96a67fb4685734b41. Ubuntu CVE tracker confirms the same two upstream URLs under Patches_sqlite3 and notes 'full text search (FTS) not present in sqlite 2'. Red Hat: CWE-416, Moderate, CVSS 7.0; RHEL7 not affected (code introduced later); fixed in RHEL8 sqlite-3.26.0-11.el8 (RHSA-2020:4442). Sources: https://git.launchpad.net/ubuntu-cve-tracker/plain/retired/CVE-2020-13630 and https://access.redhat.com/hydra/rest/securitydata/cve/CVE-2020-13630.json"
CVE-2020-13435,2020,core || expression codegen || flattener/optimizer || core (expr.c),NULL dereference || null-deref,sqlite3ExprCodeTarget,plain-SQL,,https://www.sqlite.org/src/info/7a5279a25c57adf1,3.32.1 (2020-05-25),n/a,N/A-both-trap,same (dup: CVE-2021-0646),Malicious SQL statement causes a read access to a NULL pointer and denial of service. || NULL pointer read from malicious SQL; fixed in 3.32.1. || 'Malicious SQL statement causes a read access to a NULL pointer and denial of service.',sqlite.org-assessed,seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2020-13435 || https://sqlite.org/cves.html || https://security-tracker.debian.org/tracker/CVE-2020-13435,"Details link https://sqlite.org/src/info/7a5279a25c57adf1 is a fossil ticket (login-walled). Same issue also assigned CVE-2021-0646. DoS-only per sqlite.org. || CVSS 5.5 (V31) | CWE-476 | NVD: SQLite through 3.32.0 has a segmentation fault in sqlite3ExprCodeTarget in expr.c. | Same fix also covers Android CVE-2021-0646. | refs: https://www.sqlite.org/src/info/7a5279a25c57adf1 https://support.apple.com/kb/HT211843 https://support.apple.com/kb/HT211844 https://support.apple.com/kb/HT211850 https://support.apple.com/kb/HT211931 https://support.apple.com/kb/HT211935 https://support.apple.com/kb/HT211952 http://seclists.org/fulldisclosure/2020/Dec/32 || Segmentation fault in expr.c. sqlite.org lists CVE-2021-0646 as a duplicate of this same issue. The flattener and the WHERE-clause optimizer are CORE and present in every build including ours. Our silicon build additionally OMITs some individual optimizations (LIKE/OR/BETWEEN/TRUNCATE/XFER) but NOT the flattener, so this component is reachable in our binary. || Debian lists three fossil check-ins: 7a5279a25c57adf1, ad7bb70af9bb68d1, 572105de1d44bca4. Affects through 3.32.0. stretch/jessie <not-affected> (vulnerable code introduced later, window functions)."
CVE-2020-13434,2020,printf() || core printf || printf.c || core (printf.c),int overflow -> stack overwrite || stack-overflow || integer-overflow,sqlite3_str / StrAccum on stack || printf() SQL function (sqlite3_str number formatting) || sqlite3_str_vappendf,plain-SQL,"printf() SQL function with oversized width/precision causing integer overflow, overwriting the stack with >2e9 bytes of 0x30/0x20",https://www.sqlite.org/src/info/23439ea582241138,3.32.1 (2020-05-25),stack,CAUGHT-spatial-candidate,purecap stack allocations carry their own bounds,"Malicious SQL statement involving the printf() SQL function results in an integer overflow which can overwrite the stack with over 2 billion bytes of 0x30 or 0x20 (ASCII '0' or ' '). Even though this is a stack overwrite, there is no known way to redirect control or otherwise escalate the level of harm. This is a denial-of-service attack only. || printf() integer overflow; denial-of-service only; fixed in 3.32.1.",unverified,seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2020-13434 || https://security-tracker.debian.org/tracker/CVE-2020-13434,"Stack overwrite with attacker-influenced length but constant fill bytes ('0'/' '); sqlite.org: no known control-flow hijack, DoS only. Root cause integer-overflow. Details link https://sqlite.org/src/info/23439ea582241138 is a fossil ticket (login-walled). || CVSS 5.5 (V31) | CWE-190 | NVD: SQLite through 3.32.0 has an integer overflow in sqlite3_str_vappendf in printf.c. | refs: https://www.sqlite.org/src/info/23439ea582241138 https://www.sqlite.org/src/info/d08d3405878d394e https://support.apple.com/kb/HT211843 https://support.apple.com/kb/HT211844 https://support.apple.com/kb/HT211850 https://support.apple.com/kb/HT211931 https://support.apple.com/kb/HT211935 https://support.apple.com/kb/HT211952 || Debian lists fossil 23439ea582241138 and d08d3405878d394e, plus git mirror dd6c33d372f3b83f4fe57904c2bd5ebba5c38018. Affects through 3.32.0. buster <not-affected> for src:sqlite. Debian note: 'floating point precision limit safeguards are present in sqlite (V2), refactoring in V3 made it vulnerable.'"
CVE-2020-11656,2020,core (ALTER TABLE+window) || alter.c || core (alter.c),use-after-free,debug builds only (-DSQLITE_DEBUG) || ALTER TABLE implementation,plain-SQL,,https://www.sqlite.org/src/info/d09f8c3621d5f7f8,3.32.0 (2020-05-22),n/a,LOW-PRIORITY,"not reachable in release builds | arena read from source, see sqlite-arenas.md",Malicious SQL statement causes read-only use-after-free of memory allocation if SQLite is compile with -DSQLITE_DEBUG. Does not affect release builds. || Use-after-free only in debug builds; fixed in 3.32.0.,arena-verified-by-component,seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2020-11656 || https://security-tracker.debian.org/tracker/CVE-2020-11656,"Read-only UAF only when compiled with -DSQLITE_DEBUG; release builds unaffected. Details link https://sqlite.org/src/info/4722bdab08cb1 is a fossil ticket (login-walled). || CVSS 9.8 (V31) | CWE-416 | NVD: In SQLite through 3.31.1, the ALTER TABLE implementation has a use-after-free, as demonstrated by an ORDER BY clause that belongs to a compound SELECT statement. | UAF in ALTER TABLE with ORDER BY of compound SELECT. | refs: https://www.sqlite.org/src/info/d09f8c3621d5f7f8 https://www3.sqlite.org/cgi/src/info/b64674919f673602 https://cert-portal.siemens.com/productcert/pdf/ssa-389290.pdf https://security.FreeBSD.org/advisories/FreeBSD-SA-20:22.sqlite.asc https://security.gentoo.org/glsa/202007-26 https://security.netapp.com/advisory/ntap-20200416-0001/ https://www.oracle.com/security-alerts/cpuApr2021.html https://www.oracle.com/security-alerts/cpujan2021.html || Debian gives fossil d09f8c3621d5f7f8 and b64674919f673602; ticket 4722bdab08cb14. REACHABILITY SIGNAL: Debian note 'Negliglible security impact (and uncovered in DEBUG build)'. Affects through 3.31.1."
CVE-2020-11655,2020,core || aggregate/window init || core (window functions / AggInfo),uninitialized pointer use || uninitialized-read,AggInfo initialization || AggInfo object initialization || resetAccumulator (src/select.c),plain-SQL,yes -- test/window1.test section 51,4a302b42c7bf5e11,3.32.0 (2020-05-22),lookaside,ARENA-DECIDES,"uninitialised read from a RECYCLED lookaside slot may return a still-valid capability: the scrub at malloc.c:429,468 is SQLITE_DEBUG-only, so release builds leave old contents in place",Malicious SQL statement causes a read using an uninitialized pointer and denial-of-service. || Uninitialized pointer read from malicious SQL; fixed in 3.32.0. || 'Malicious SQL statement causes a read using an uninitialized pointer and denial-of-service.',"mechanism-verified, per-field tracing open",seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2020-11655 || https://sqlite.org/cves.html || https://security-tracker.debian.org/tracker/CVE-2020-11655,"Uninitialized pointer read -> DoS. Details link https://sqlite.org/src/info/af4556bb5c285c08 is a fossil ticket (login-walled). || CVSS 7.5 (V31) | CWE-665 | NVD: SQLite through 3.31.1 allows attackers to cause a denial of service (segmentation fault) via a malformed window-function query because the AggInfo object's initialization is mishandled. | AggInfo object initialization mishandled on malformed window-function query. | refs: https://www3.sqlite.org/cgi/src/info/4a302b42c7bf5e11 https://www3.sqlite.org/cgi/src/tktview?name=af4556bb5c https://cert-portal.siemens.com/productcert/pdf/ssa-389290.pdf https://lists.debian.org/debian-lts-announce/2020/05/msg00006.html https://lists.debian.org/debian-lts-announce/2020/08/msg00037.html https://security.FreeBSD.org/advisories/FreeBSD-SA-20:22.sqlite.asc https://security.gentoo.org/glsa/202007-26 https://security.netapp.com/advisory/ntap-20200416-0001/ || Malformed window-function query; the AggInfo object's initialization is mishandled. Same AggInfo structure is the site of CVE-2025-6965 five years later. Window functions are CORE (added 3.25.0), present in a default build. In our Capstone build they ARE compiled in: build-sqlite-silicon.sh documents that -DSQLITE_OMIT_WINDOWFUNC does not even compile against the prebuilt amalgamation, so it is not applied. This is one of the few components in this survey that is actually reachable in our binary. || Debian: 'Issue covered before' 712e47714863a8ed; 'Fixed by' fossil 4a302b42c7bf5e11; plus git mirror commits 3251a2031bfd29f338a5fda1a08c18878296d354, c415d91007e1680e4eb17def583b202c3c83c718, 4db7ab53f9c30e2e22731ace93ab6b18eef6c4ae. NOT-AFFECTED: buster (introduced/exploitable in 3.30 with 3251a2031bfd...). Ticket af4556bb5c. || Check-in verified by me directly (message/date/files/diff confirmed at source), not taken on report. Dated 2020-04-03, touches src/select.c and test/window1.test; adds an early exit to resetAccumulator() 'to prevent problems due to incomplete or incorrect initialization of the AggInfo object' when semantic errors occur. Upstream ticket af4556bb5c285c08. SAME FUNCTION as CVE-2020-13871 two months later, and the same AggInfo-vs-Expr lifetime problem as CVE-2021-20227 and CVE-2025-6965 -- see the pattern note on CVE-2020-13871. Window functions are CORE and compiled into our build (-DSQLITE_OMIT_WINDOWFUNC does not compile against the prebuilt amalgamation), so this component IS reachable in our binary."
CVE-2020-9327,2020,core || query planner (generated columns) || flattener/optimizer || core (vtab / where.c),uninitialized pointer use || uninitialized-read || null-deref,isAuxiliaryVtabOperator,plain-SQL,,4374860b29383380,3.32.0 (2020-05-22),lookaside,ARENA-DECIDES,"uninitialised read from a RECYCLED lookaside slot may return a still-valid capability: the scrub at malloc.c:429,468 is SQLITE_DEBUG-only, so release builds leave old contents in place",Malicious SQL statement causes a read using an uninitialized pointer and denial-of-service. || Uninitialized pointer read from malicious SQL; fixed in 3.32.0. || 'Malicious SQL statement causes a read using an uninitialized pointer and denial-of-service',"mechanism-verified, per-field tracing open",seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2020-9327 || https://sqlite.org/cves.html || https://security-tracker.debian.org/tracker/CVE-2020-9327,"Uninitialized pointer read -> DoS. Details link https://sqlite.org/src/info/4374860b29383380 is a fossil ticket (login-walled). || CVSS 7.5 (V31) | CWE-476 | NVD: In SQLite 3.31.1, isAuxiliaryVtabOperator allows attackers to trigger a NULL pointer dereference and segmentation fault because of generated column optimizations. | NVD classes as NULL deref (CWE-476); vendor page calls it uninitialized pointer read. | refs: https://www.sqlite.org/cgi/src/info/4374860b29383380 https://www.sqlite.org/cgi/src/info/9d0d4ab95dc0c56e https://www.sqlite.org/cgi/src/info/abc473fb8fb99900 https://cert-portal.siemens.com/productcert/pdf/ssa-389290.pdf https://security.gentoo.org/glsa/202003-16 https://security.netapp.com/advisory/ntap-20200313-0002/ https://usn.ubuntu.com/4298-1/ https://www.oracle.com/security-alerts/cpuApr2021.html || Triggered by generated-column optimizations. NVD calls it a NULL deref; upstream calls it an UNINITIALIZED pointer read. The two are not the same failure and the vendor is the better source here. The flattener and the WHERE-clause optimizer are CORE and present in every build including ours. Our silicon build additionally OMITs some individual optimizations (LIKE/OR/BETWEEN/TRUNCATE/XFER) but NOT the flattener, so this component is reachable in our binary. || Debian lists fossil 4374860b29383380, 9d0d4ab95dc0c56e, abc473fb8fb99900 and git mirror bf48ce49f7c25e5d4524de9fdc5c0d505218d06d, 78d1d225d87af40f5bdca57fa72f00b6ffaffa21. NOT-AFFECTED across buster/stretch/jessie ('vulnerable code not present'). Affects 3.31.1."
