program,id,year,component,bug_class,affected_function,trigger,poc,fix_commit,fixed_in,alloc_arena,verdict,evidence,source,notes
php,php-0007,2024,ext/pdo_firebird,int-overflow-to-oob,firebird_handle_quoter,PDO::quote() on a firebird connection with a string containing enough quotes that ZSTR_LEN+qcount+2 wraps,,69c5f68fdc3deed9ebce2cc44b4bf5e0c47cd28f,8.1.31,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/69c5f68fdc3deed9ebce2cc44b4bf5e0c47cd28f,"quoted_str = zend_string_alloc(quotedlen, 0) at ext/pdo_firebird/firebird_driver.c:680; the wrapped quotedlen undersizes the bin slot that the copy loop then overruns"
php,php-0008,2024,ext/pdo_dblib,int-overflow-to-oob,dblib_handle_quoter,PDO::quote() on a dblib/mssql connection with a quote-heavy string,https://github.com/php/php-src/blob/d9baa9fed8c3ba692a36b388c0c7762e5102e2e0/ext/pdo_dblib/tests/GHSA-5hqh-c84r-qjcv.phpt,d9baa9fed8c3ba692a36b388c0c7762e5102e2e0,8.1.31,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/d9baa9fed8c3ba692a36b388c0c7762e5102e2e0,"quoted_str = zend_string_alloc(quotedlen, 0) at ext/pdo_dblib/dblib_driver.c:174; same wrap as the firebird quoter"
php,php-0009,2024,Zend,use-after-free,zend_calc_live_ranges,"$a['k'] ??= <expr> where the compiler emits ZEND_SEPARATE, ending a temporary's live range early",https://github.com/php/php-src/blob/ef2c459941b5ffae501e5311f5ac2041aadbe461/Zend/tests/ghsa-rwp7-7vc6-8477_001.phpt,ef2c459941b5ffae501e5311f5ac2041aadbe461,8.3.20,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/ef2c459941b5ffae501e5311f5ac2041aadbe461,"the object freed early is the refcounted payload of a VM temporary - zend_string (Zend/zend_string.h (master:190)), zend_array (Zend/zend_hash.c (master:289)) or zend_object (Zend/zend_objects.c (master:190)) - all emalloc; the VM stack page holding the temp is itself emalloc'd at Zend/zend_execute.c (master:194)"
php,php-0010,2026,ext/soap,use-after-free,SoapServer::handle,SOAP request whose header handler returns a fault while the service uses SOAP_PERSISTENCE_SESSION,https://github.com/php/php-src/blob/db2a7f9348fd5dda5fd162061786a664c417bf5b/ext/soap/tests/GHSA-m33r-qmcv-p97q.phpt,db2a7f9348fd5dda5fd162061786a664c417bf5b,8.2.32,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/db2a7f9348fd5dda5fd162061786a664c417bf5b,soap_obj is the userland service object (soap.c:1359) created by object_init_ex -> zend_objects_new -> emalloc at Zend/zend_objects.c (master:190); zval_ptr_dtor drops the last visible ref while $_SESSION still holds the pointer
php,php-0013,2026,ext/mysqlnd,oob-read,php_mysqlnd_rset_field_read,a hostile MySQL server sends result-set field metadata whose length-encoded string runs past the packet,https://github.com/php/php-src/blob/9c74d7d1bcd254b4ad64a9b21fe41f546e764cd4/ext/mysqli/tests/mysqlnd_rset_field_len_over_read.phpt,9c74d7d1bcd254b4ad64a9b21fe41f546e764cd4,,zend-mm-large,blind,read-the-source,https://github.com/php/php-src/commit/9c74d7d1bcd254b4ad64a9b21fe41f546e764cd4,"reads run past pfc->cmd_buffer.buffer = mnd_pemalloc(len, pfc->persistent) at ext/mysqlnd/mysqlnd_protocol_frame_codec.c (master:403) (emalloc for a non-persistent connection, ext/mysqlnd/mysqlnd_alloc.c (master:73))"
php,php-0014,2026,ext/mysqlnd,oob-read,php_mysqlnd_ok_read,a hostile MySQL server puts the OK-packet message varint at the very end of the packet,https://github.com/php/php-src/blob/9e5cf96095ca54543c68787092cc28fcc4bc534d/ext/mysqli/tests/mysqlnd_ok_packet_message_over_read.phpt,9e5cf96095ca54543c68787092cc28fcc4bc534d,,zend-mm-large,blind,read-the-source,https://github.com/php/php-src/commit/9e5cf96095ca54543c68787092cc28fcc4bc534d,"the MIN() clamp underflows and mnd_pestrndup copies past pfc->cmd_buffer.buffer (mnd_pemalloc, ext/mysqlnd/mysqlnd_protocol_frame_codec.c (master:403) -> emalloc when non-persistent)"
php,php-0015,2026,ext/phar,use-after-free,phar_get_entry_info_dir,access a subdirectory of a Phar mounted with Phar::mount(),https://github.com/php/php-src/blob/12b1f654db632e1420142dd87f190a93a44fb88e/ext/phar/tests/gh23418.phpt,12b1f654db632e1420142dd87f190a93a44fb88e,,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/12b1f654db632e1420142dd87f190a93a44fb88e,"test is allocated by spprintf at ext/phar/util.c:1403, which uses emalloc (main/snprintf.c vspprintf); it was efree'd before phar_mount_entry and the error path still formatted it"
php,php-0016,2026,sapi/phpdbg,double-free,phpdbg_queue_element_for_recreation,re-watch an already-watched array element under phpdbg so a parent and child element are queued under distinct keys,,9d6fd4fd98aa9e7662f7b8082ce328b20c6be7b6,,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/9d6fd4fd98aa9e7662f7b8082ce328b20c6be7b6,"element = ecalloc(1, sizeof(phpdbg_watch_element)) at sapi/phpdbg/phpdbg_watch.c:1417; phpdbg_free_watch_element_tree frees the whole chain twice"
php,php-0019,2026,ext/intl,double-free,_php_intlgregcal_constructor_body,"new IntlGregorianCalendar($tz, $locale) where the ICU GregorianCalendar constructor fails",,850aa02c143e3b6e91ac231d9c3e4bcea0239325,8.6.0,system-malloc,caught,read-the-source,https://github.com/php/php-src/commit/850aa02c143e3b6e91ac231d9c3e4bcea0239325,"tz is an ICU C++ TimeZone created by TimeZone::createTimeZone / clone (operator new -> malloc); PHP calls delete tz after the adopting ICU calendar destructor already deleted it. The PHP wrapper (TimeZone_object, ecalloc(1, sizeof(TimeZone_object) + ...) at ext/intl/timezone/timezone_class.cpp:360) is arena but is NOT the double-freed object"
php,php-0020,2026,ext/dom,use-after-free,dom_set_attribute_ns_modern,"hold a Dom\Text wrapper for an attribute's child, then call Element::setAttributeNS() on that attribute",https://github.com/php/php-src/blob/0dd7f31f151636ecab5ef668087693ae266895ce/ext/dom/tests/modern/common/Element_setAttributeNS_live_child.phpt,0dd7f31f151636ecab5ef668087693ae266895ce,8.6.0,system-malloc,caught,read-the-source,https://github.com/php/php-src/commit/0dd7f31f151636ecab5ef668087693ae266895ce,"the freed object is the child xmlNode destroyed inside xmlSetNsProp(); libxml2 nodes come from libxml2's own xmlMalloc - php-src never calls xmlMemSetup (it appears only in the Windows export lists, ext/libxml/php_libxml2.def (master:441)). The dom_object wrapper is arena but survives"
php,php-0021,2026,ext/dom,use-after-free,node_list_unlink,"an attribute child list containing an entity reference or a wrapped node, then setAttribute()/setAttributeNS()",https://github.com/php/php-src/blob/d19f248f8efccb58aabbcc35fe5ce921abb89ae6/ext/dom/tests/gh23331.phpt,d19f248f8efccb58aabbcc35fe5ce921abb89ae6,8.6.0,system-malloc,caught,read-the-source,https://github.com/php/php-src/commit/d19f248f8efccb58aabbcc35fe5ce921abb89ae6,"same libxml2 xmlNode memory as php-0020; the loop abandoned the rest of the list so xmlSetProp/xmlFreeProp freed nodes that still had PHP wrappers libxml2 keeps its own allocator here: php-src never calls xmlMemSetup, which appears only in the Windows export list ext/libxml/php_libxml2.def (master:441)."
php,php-0022,2026,ext/dom,double-free,php_dom_ns_compat_mark_attribute_list,XML parse hits OOM mid-loop while promoting namespace decls to attributes,https://github.com/php/php-src/blob/50de982d31b785aa267cff461c02142945f82055/ext/dom/tests/modern/xml/gh22522.phpt,50de982d31b785aa267cff461c02142945f82055,8.6.0,system-malloc,caught,read-the-source,https://github.com/php/php-src/commit/50de982d31b785aa267cff461c02142945f82055,"the double-freed objects are the node's xmlNs structs, walked from node->nsDef and moved onto doc->oldNs at ext/dom/namespace_compat.c:253 (php_libxml_set_old_ns) before node->nsDef is cleared at line 268; xmlNs is libxml2's own type (allocated by libxml2's parser via its own xmlMalloc) - php-src never calls xmlMemSetup"
php,php-0023,2026,ext/intl,use-after-free,_php_intlrbbi_constructor_body,"construct IntlRuleBasedBreakIterator(compiled_rules, true) then drop the last reference to the source string",https://github.com/php/php-src/blob/35b09eaead26bbe865bc26b0d1639ef238228863/ext/intl/tests/rbbiter_compiled_rules_lifetime.phpt,35b09eaead26bbe865bc26b0d1639ef238228863,,zend-mm-large,blind,read-the-source,https://github.com/php/php-src/commit/35b09eaead26bbe865bc26b0d1639ef238228863,"the aliased buffer is the zend_string returned by IntlRuleBasedBreakIterator::getBinaryRules(), built with zend_string_alloc(rules_len, 0) at ext/intl/breakiterator/rulebasedbreakiterator_methods.cpp:197; ICU's RuleBasedBreakIterator(compiled) constructor aliases ZSTR_VAL of that string instead of copying it, so releasing the PHP string leaves the iterator pointing at a freed/reused arena slot"
php,php-0024,2026,ext/dom,use-after-free,dom_object_namespace_node_clone_obj,clone a DOMNameSpaceNode whose owning element was already reparented/freed by a prior XInclude substitution,https://github.com/php/php-src/blob/d09e5e2bc2d194ff454bf7d737fe7ed7e369f62e/ext/dom/tests/dom_namespacenode_clone_xinclude.phpt,d09e5e2bc2d194ff454bf7d737fe7ed7e369f62e,8.6.0,system-malloc,caught,read-the-source,https://github.com/php/php-src/commit/d09e5e2bc2d194ff454bf7d737fe7ed7e369f62e,"clone_obj passes original_node->parent (an xmlNode already freed by libxslt/xinclude substitution) into php_dom_create_fake_namespace_decl_node_ptr() at ext/dom/php_dom.c:708, which dereferences nodep->doc on it; xmlNode is libxml2's own type allocated by libxml2's own xmlMalloc, not php-src's allocator"
php,php-0025,2026,ext/pdo_pgsql,use-after-free,pgsql_stmt_fetch,a second lazy (unbuffered) PDO_PGSQL statement takes over the shared connection before the first one finishes draining,https://github.com/php/php-src/blob/0b91828b01e61eef064df7ba4238a469029f39ed/ext/pdo_pgsql/tests/lazy_fetch_drain.phpt,0b91828b01e61eef064df7ba4238a469029f39ed,8.5.10,system-malloc,caught,read-the-source,https://github.com/php/php-src/commit/0b91828b01e61eef064df7ba4238a469029f39ed,"S->result is a PGresult* obtained from libpq's PQgetResult(H->server) at ext/pdo_pgsql/pgsql_statement.c:92 and freed by PQclear(S->result) at line 79 inside pgsql_stmt_finish() called for a *different* statement on the same connection; pgsql_stmt_fetch() then read the stale S->result via current_row < stmt->row_count with no NULL check. PGresult is libpq's own malloc'd type, not zend-mm"
php,php-0026,2026,ext/standard,use-after-free,php_implode,implode()/strtr()/str_replace() convert a Stringable array element whose __toString() drops the last reference to the same array,https://github.com/php/php-src/blob/8ce7f7f5e93e7e8c527f55e3d98df976a1d0f03c/ext/standard/tests/strings/gh23204.phpt,8ce7f7f5e93e7e8c527f55e3d98df976a1d0f03c,8.4.25,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/8ce7f7f5e93e7e8c527f55e3d98df976a1d0f03c,"pieces/from_ht is the caller's HashTable; its bucket array (arData) comes from zend_hash_real_init_mixed_ex()'s emalloc(HT_SIZE_EX(...)) at Zend/zend_hash.c:177. Converting an element via __toString() can drop the last zval reference, running zend_array_destroy() mid-ZEND_HASH_FOREACH_VAL and freeing arData while the loop still walks it"
php,php-0027,2026,ext/xsl,use-after-free,XSLTProcessor::importStylesheet,pass a DOMDocument subclass whose __clone() stashes the cloned document (or a node proxy into it) before it's handed to libxslt,https://github.com/php/php-src/blob/11047a7a6688b2360c3c3a26370caa39862a2587/ext/xsl/tests/importStylesheet_clone_retained_document.phpt,11047a7a6688b2360c3c3a26370caa39862a2587,8.4.25,system-malloc,caught,read-the-source,https://github.com/php/php-src/commit/11047a7a6688b2360c3c3a26370caa39862a2587,"importStylesheet() clones the document at ext/xsl/xsltprocessor.c:210 (Z_OBJ_HANDLER_P(docp, clone_obj)), which for a DOMDocument clones the underlying xmlDoc tree via dom_clone_node() (ext/dom/php_dom.c:662); libxslt takes ownership of that xmlDoc and frees it with the stylesheet, so a __clone() that retained a reference leaves user code pointing at libxml2-owned memory that php-src never allocates through zend-mm"
php,php-0028,2026,ext/openssl,use-after-free,php_openssl_load_stream_cafile,"an SSL context whose cafile stream contains no valid certificate, so certs_added stays 0",https://github.com/php/php-src/blob/d2780bcbaea2c9e90dbff482eced68ad3a98b499/ext/openssl/tests/stream_cafile_no_valid_certs.phpt,d2780bcbaea2c9e90dbff482eced68ad3a98b499,8.6.0,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/d2780bcbaea2c9e90dbff482eced68ad3a98b499,"stream is the php_stream from php_stream_open_wrapper(cafile, ...) at ext/openssl/xp_ssl.c:892 (non-persistent -> _php_stream_alloc, main/streams/streams.c (master:170), arena); the old stream_complete: block called php_stream_close(stream) first and only afterward passed the now-freed stream to php_stream_warn(stream, ...) when certs_added == 0"
php,php-0029,2026,ext/session,use-after-free,php_session_initialize,a userland session save-handler's create_sid() calls session_id() while the module is mid-regeneration of the session id,https://github.com/php/php-src/blob/9366c61247f797e611a09f14478fc75a0b4edd33/ext/session/tests/user_session_module/gh23043.phpt,9366c61247f797e611a09f14478fc75a0b4edd33,8.4.25,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/9366c61247f797e611a09f14478fc75a0b4edd33,"PS(id) is a zend_string built by php_session_create_id() via zend_string_alloc(PS(sid_length), 0) at ext/session/session.c:346; the pre-fix code released the old PS(id) with zend_string_release_ex() but left the dangling pointer live while calling PS(mod)->s_create_sid(), and a custom create_sid() that calls session_id() reads/addrefs the already-freed arena slot"
php,php-0032,2026,ext/sockets,use-after-free,php_if_index_to_addr4,"Windows: GetIpAddrTable() returns ERROR_INSUFFICIENT_BUFFER, forcing a retry with a bigger buffer",,754ea6e14e60ea36d2d5f4e5dd4c404f3ecfeb25,8.4.25,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/754ea6e14e60ea36d2d5f4e5dd4c404f3ecfeb25,"addr_table = emalloc(size) at ext/sockets/multicast.c:634; on ERROR_INSUFFICIENT_BUFFER the retry called erealloc(addr_table, size) and discarded the (possibly moved) return value, so the retried GetIpAddrTable(addr_table, ...) could write into the original, already-freed block"
php,php-0033,2026,ext/opcache,double-free,zend_accel_compile_pfa,"call a closure through partial application (PFA), which shallow-copies its op_array into the per-request PFA cache as a lifetime anchor",https://github.com/php/php-src/blob/c191020fdaf020e63b9e9afcb225ce3481b48abb/Zend/tests/partial_application/closure_rt_cache_lifetime.phpt,c191020fdaf020e63b9e9afcb225ce3481b48abb,8.6.0,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/c191020fdaf020e63b9e9afcb225ce3481b48abb,"a real closure's non-shared run_time_cache is emalloc'd at Zend/zend_closures.c:872 (ptr = emalloc(func->op_array.cache_size)), flagged ZEND_ACC_HEAP_RT_CACHE; the PFA copy at ext/opcache/ZendAccelerator.c:2148 was a raw memcpy that kept the same pointer and flag, so destroy_op_array() freed that emalloc'd cache twice - once for the closure, once for the PFA arena copy at cache teardown"
php,php-0034,2026,ext/filter,use-after-free,php_sapi_filter,"parse_str() with filter.default set, on a value that fails default validation or is rewritten by FILTER_VALIDATE_INT",https://github.com/php/php-src/blob/0549c8e05457148ec88eff9d481b37235142d50c/ext/filter/tests/filter_default_parse_str.phpt,0549c8e05457148ec88eff9d481b37235142d50c,8.4.25,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/0549c8e05457148ec88eff9d481b37235142d50c,"new_var's string is built by ZVAL_STRINGL(&new_var, *val, val_len) at ext/filter/filter.c:338 (-> zend_string_init, arena); php_zval_filter() can release that string and rewrite new_var to IS_FALSE on validation failure, or to IS_LONG on a successful FILTER_VALIDATE_INT, and php_sapi_filter then read Z_STRLEN_P/Z_STRVAL_P(new_var) unconditionally - either the freed zend_string or the long reinterpreted as a pointer"
php,php-0035,2026,ext/standard,use-after-free,php_var_serialize_intern,serialize() an array whose element's __serialize()/__sleep()/Serializable::serialize() hook grows the same array through a by-reference alias,https://github.com/php/php-src/blob/cc8abaf9f109a83c741b9fe5297f1c094c775811/ext/standard/tests/serialize/serialize_array_ref_reentrancy.phpt,cc8abaf9f109a83c741b9fe5297f1c094c775811,8.6.0,zend-mm-large,blind,read-the-source,https://github.com/php/php-src/commit/cc8abaf9f109a83c741b9fe5297f1c094c775811,"myht's backing bucket store is grown by zend_hash_do_resize()'s new_data = pemalloc(HT_SIZE_EX(nSize,...), ...) at Zend/zend_hash.c:1331 (non-persistent request array -> arena); the accepted repro grows the array to 128 elements inside the hook, well past the 3072B bin ceiling. php_var_serialize_intern() walked myht with ZEND_HASH_FOREACH across the recursive hook call without holding a ref, so a resize mid-walk frees the old bucket array out from under the iterator"
php,php-0036,2026,sapi/phpdbg,use-after-free,phpdbg_add_watch_element,re-watch a variable that is already being watched,https://github.com/php/php-src/blob/207dd1d23f75654f0350d55b246cee40e451645a/sapi/phpdbg/tests/gh22480.phpt,207dd1d23f75654f0350d55b246cee40e451645a,8.6.0,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/207dd1d23f75654f0350d55b246cee40e451645a,"a phpdbg_watch_element is ecalloc(1, sizeof(phpdbg_watch_element)) at sapi/phpdbg/phpdbg_watch.c:1267 (arena, request-lifetime); phpdbg_add_watch_element() frees the passed-in element and returns the pre-existing one when the variable is already watched, but most callers kept using the now-freed element pointer afterward"
php,php-0037,2026,ext/standard,use-after-free,array_multisort,array_multisort() with SORT_STRING whose comparator (via a Stringable element's __toString()) unsets or reassigns one of the input arrays mid-sort,https://github.com/php/php-src/blob/1e9f56cdb4126fe9dc693f9fed2385dda31fa4a8/ext/standard/tests/array/gh22678.phpt,1e9f56cdb4126fe9dc693f9fed2385dda31fa4a8,8.6.0,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/1e9f56cdb4126fe9dc693f9fed2385dda31fa4a8,"array_multisort() snapshotted Z_ARRVAL_P(arrays[i]) (whose bucket store comes from zend_hash_real_init_mixed_ex()'s emalloc at Zend/zend_hash.c:177, or the packed variant) without an extra reference; dropping the array's last refcount from within the SORT_STRING comparator ran zend_array_destroy() and freed that bucket store while the snapshot/restructure loop still walked and wrote through it"
php,php-0038,2026,ext/zip,use-after-free,php_zip_set_file_comment,ZipArchive::setCommentName()/setCommentIndex() re-set an entry's comment to the same value libzip already has stored for it,https://github.com/php/php-src/blob/ebed41a03b8b1f9135874d9aac1320d17eb37e95/ext/zip/tests/gh22649.phpt,ebed41a03b8b1f9135874d9aac1320d17eb37e95,8.6.0,system-malloc,caught,read-the-source,https://github.com/php/php-src/commit/ebed41a03b8b1f9135874d9aac1320d17eb37e95,"the touched buffer is the entry's comment inside libzip's own struct zip, returned by zip_file_get_comment(); passing that same libzip-owned pointer back into zip_file_set_comment() lets libzip free/replace its internal comment storage while still copying from the pointer it just invalidated. libzip manages this memory with its own allocator, not zend-mm"
php,php-0039,2026,ext/dom,use-after-free,dom_node_parent_get,read ->parentNode or ->isConnected on a DOMNameSpaceNode obtained after DOMDocument::xinclude() substituted its owning element,https://github.com/php/php-src/blob/e5623ea1e93030b6628b4374f455bc5a62eeebbb/ext/dom/tests/gh22624.phpt,e5623ea1e93030b6628b4374f455bc5a62eeebbb,8.6.0,system-malloc,caught,read-the-source,https://github.com/php/php-src/commit/e5623ea1e93030b6628b4374f455bc5a62eeebbb,"for an XML_NAMESPACE_DECL node the pre-fix code read nodep->parent directly (ext/dom/node.c, dom_node_parent_get); for a synthetic namespace-decl node that raw xmlNode parent pointer can already have been freed by xinclude's substitution instead of going through the durable parent_intern handle. xmlNode is libxml2's own type, allocated by libxml2's xmlMalloc, not zend-mm"
php,php-0040,2026,ext/dom,use-after-free,php_dom_xpath_callback_fetch_args,XSLTProcessor::registerPHPFunctions() calls a registered PHP function with a namespace node whose parent lives in a document() result,https://github.com/php/php-src/blob/9073875eb98416595f1666df0f6a728bab2bc5c7/ext/xsl/tests/gh22621.phpt,9073875eb98416595f1666df0f6a728bab2bc5c7,8.6.0,system-malloc,caught,read-the-source,https://github.com/php/php-src/commit/9073875eb98416595f1666df0f6a728bab2bc5c7,"the namespace parent from an external document() result was wrapped with php_dom_create_object() directly at ext/dom/xpath_callbacks.c:349 instead of through proxy_factory(), skipping the copy that pins non-main-document nodes alive; xsltFreeTransformContext() then frees the external xmlDoc while a userland-retained DOMNameSpaceNode still points into it. xmlDoc is libxml2's own type"
