id,year,component,bug_class,affected_function,trigger,poc,fix_commit,fixed_in,alloc_arena,verdict,evidence,source,notes
APR-PR46588,2009,apr-util,double-free,mget_conn_result / apr_memcache_multgetp (memcache/apr_memcache.c),"On a failed multi-get, mget_conn_result called ms_bad_conn(ms, conn) - which destroys the connection and returns its slot to the apr_reslist - and then unconditionally called ms_release_conn(ms, conn) on the same connection, releasing it a second time. The server_queries hash entry was also deleted only at the end, so the iteration walked an entry that had already been handled.",an apr_memcache_multgetp against a server that closes the connection mid-batch,"c44ad389a0bcacfc11f7c7acd68e8a17f141fe5d (trunk r746592); backports 143d5ee1, bf63846c",apr-util 1.3.5,apr-pool,blind,read-the-source,https://github.com/apache/apr-util/commit/c44ad389a0bcacfc11f7c7acd68e8a17f141fe5d,"BORDERLINE. Commit title is 'Fix apr_memcache_multgetp memory corruption'. The doubly-released object is an apr_memcache_conn_t, `memcache/apr_memcache.c:415 conn = apr_palloc(np, sizeof( apr_memcache_conn_t ));` out of a per-connection sub-pool, and the release target is an apr_reslist, not the system allocator. Nothing reaches free(), so this produces aliasing - two callers holding the same live connection - rather than a libc double-free, and no heap checker has an event to fire on. That absence of a free event is precisely what makes pool/reslist lifetime bugs unreachable for allocator-level tooling. Fix splits the server-up and conn-up flags and moves the hash delete to the top."
CVE-2009-0023,2009,apr-util,oob-write,"apr_strmatch_precompile (strmatch/apr_strmatch.c), plus the matching reads in match_boyer_moore_horspool*","The Boyer-Moore-Horspool skip table is indexed with a plain `char`: `shift[(int)s[i]] = ...` and `shift[apr_tolower(s[i])] = ...`. Any byte >= 0x80 in the pattern sign-extends to -128..-1, so the store lands at shift[-1]..shift[-128], i.e. 8 to 1024 bytes BEFORE the table.","apr_strmatch_precompile(p, pattern, 1) with a pattern byte >= 0x80 (httpd reaches this from mod_substitute / mod_proxy_html pattern configuration and from Content-Type matching)","a7fc9eef25bad1d84d9f31a5051d8ac85b3ba0f2 (0.9.x r779994), 97e793b8b (apr side), backported from r779878",apr-util 1.3.5,apr-pool,blind,read-the-source,https://github.com/apache/apr-util/commit/a7fc9eef25bad1d84d9f31a5051d8ac85b3ba0f2,"One of the cleanest arena cases in the set. `strmatch/apr_strmatch.c:99 shift = (apr_size_t *)apr_palloc(p, sizeof(apr_size_t) * NUM_CHARS);` (NUM_CHARS=256, so 2 KB) is bump-allocated immediately after `pattern = apr_palloc(p, sizeof(*pattern));` at :90 in the SAME memnode. shift[-1] therefore overwrites the tail of the apr_strmatch_pattern_t that precedes it - including its `compare` function pointer - with an attacker-influenced length value. Both objects live inside one 8 KB memnode that APR obtained with a single malloc, so ASAN, a guard page, and a malloc-level checker all see a fully in-bounds store. Fix casts through unsigned char."
CVE-2009-1956,2009,apr-util,oob-write,apr_brigade_vprintf (buckets/apr_brigade.c),"After apr_vformatter returned, the function unconditionally wrote `*(vd.vbuff.curpos) = '\0';`. When the formatted output exactly filled the buffer, curpos == buf + APR_BUCKET_BUFF_SIZE and the NUL landed one byte past the end of the stack array.",any apr_brigade_printf whose formatted output is an exact multiple of APR_BUCKET_BUFF_SIZE,"1baa128b5f3ff1617c4de7190a297eb9e9b5cbf9 (0.9.x r777289, backport of trunk r768417)",apr-util 1.3.5,stack,caught,read-the-source,https://github.com/apache/apr-util/commit/1baa128b5f3ff1617c4de7190a297eb9e9b5cbf9,"CONTROL-GROUP row. Buffer: `buckets/apr_brigade.c:640 char buf[APR_BUCKET_BUFF_SIZE];` - a plain stack array, so a bounds-checking ABI catches the off-by-one immediately, and even a stack-protector build has a chance. Advisory framing is 'off-by-one overflow ... on big-endian platforms', where the clobbered byte was the significant end of an adjacent value and leaked. Fix deletes the write; the length is already tracked separately."
CVE-2022-25147,2022,apr-util,intra-arena-overflow,apr_base64_decode_len / apr_base64_decode_binary (encoding/apr_base64.c),"`nbytesdecoded = (((int)nprbytes + 3) / 4) * 3;` at lines 120 and 156 of the vulnerable apr-util file (git show 28136433^:encoding/apr_base64.c) casts an apr_size_t byte count to int. For an encoded input above ~1.4 GB the multiply overflows int, decode_len returns a small or negative size, the caller allocates that much, and apr_base64_decode then writes the full 3/4*n decode into the short buffer.",apr_pbase64_decode / ap_pbase64decode on a base64 body larger than APR_BASE64_DECODE_MAX (2863311524),"281364330ed273fbacc339696636199cab1221c1 (1.7.x r1904727, merges trunk r1902206, r1904666); 1.6.x backport in apr-util 1.6.2",apr-util 1.6.2,apr-pool,blind,named-in-advisory,https://github.com/apache/apr-util/commit/281364330ed273fbacc339696636199cab1221c1,"apr-util 1.x ships no pool wrapper of its own, so the destination is the caller's. The two real ones are both pools: APR trunk `encoding/apr_base64.c:211 decoded = (char *) apr_palloc(p, apr_base64_decode_len(bufcoded));` (apr_pbase64_decode) and httpd `server/util.c:2503 decoded = (char *) apr_palloc(p, apr_base64_decode_len(bufcoded));` (ap_pbase64decode, used by ap_get_basic_auth_pw at server/protocol.c:1715). Size and buffer come from the same overflowing expression, so the overflow is exactly as large as the wrap and lands entirely inside the request pool. Fix asserts the length limits and aborts."
CVE-2026-32327,2026,apr-util,stack-overflow,"apr_xml_quote_elem (xml/apr_xml.c:822, self-recursive at :851)","Deeply nested XML from an untrusted source. start_handler built one apr_xml_elem per element with no depth cap, and apr_xml_quote_elem walks the resulting tree by direct recursion, one C frame per element, until the stack guard page is hit.","apr-util's own regression input: test/data/nesting.xml, 2001 lines of nested elements, added by the fix commit",414e12e427c89f135d8ee66ab1203feffd3e2bd8 (svn r1936815; 1.7.x r1936807),apr-util 1.6.4,stack,caught,read-the-source,https://apr.apache.org/security_report.html,"BORDERLINE control-group row. The data structure being walked IS arena memory - `xml/apr_xml.c:157 elem = apr_pcalloc(parser->p, sizeof(*elem));` in the vulnerable 1.6.3 tree (git show 414e12e4^:xml/apr_xml.c; the same line is :143 in the current 1.7.x checkout) - but the memory that is actually exhausted is the call stack, one frame per level. CHERI bounds each stack allocation but does not bound recursion depth; what stops this is the guard page, which is independent of the allocator. Recorded as `stack`/`caught` on that reasoning. Fix caps depth at APR_XML_MAX_DEPTH=256 in start_handler."
CVE-2026-34501,2026,apr-util,oob-write,"grab_bulk_resp (redis/apr_redis.c), reached from apr_redis_getp / apr_redis_info","A malicious or compromised Redis server answers a GET/INFO with a bulk-string header whose length is negative or <2. Pre-fix: `len = strtol(length, NULL, 10)` into an apr_size_t, so RESP's null bulk string `$-1\r\n` gives len=(apr_size_t)-1; `len != 0` so the else branch runs, apr_brigade_partition is called at len+2 == 1, apr_brigade_pflatten returns len==1, then `*new_length = len - 2` underflows to SIZE_MAX and `(*baton)[*new_length] = '\0'` writes at baton+SIZE_MAX, i.e. baton[-1] on a 64-bit wrap.",Redis server reply `$-1\r\n` (or any bulk body that flattens to <2 bytes) to a GET issued by apr_redis_getp,"e8f36bd5f1cc1c82bed1ae52d5699a4c610251c2 (svn r1936810; trunk r1936808, 1.7.x r1936809)",apr-util 1.6.4,apr-pool,blind,read-the-source,https://apr.apache.org/security_report.html,"Affects apr-util 1.6.0-1.6.3. baton is allocated by apr_brigade_pflatten: `buckets/apr_brigade.c:294 *c = apr_palloc(pool, total);` (size = flattened brigade length). The bad write lands one byte BEFORE that pool object, i.e. on the tail of whatever apr_palloc bump-allocated just before it in the same memnode - no redzone, no header, no free() ever - so ASAN sees only the memnode's own malloc'd block and reports nothing. Second effect: *new_length = SIZE_MAX is returned to the caller as the value length, so httpd's mod_socache_redis / mod_session_redis then read SIZE_MAX bytes. Fix adds strtol errno/endptr validation, rejects val<0 and val>64MB, and guards len<2."
CVE-2026-34502#stats,2026,apr-util,oob-write,stat_read_uint32 / stat_read_uint64 / stat_read_time / stat_read_rtime (memcache/apr_memcache.c),"apr_memcache_stats parses a STATS reply. Each helper is invoked as `stat_read_X(p, conn->buffer + NAMELEN, conn->blen - NAMELEN)` (macros at :1711-1729) and then does `buf[len-2] = '\0'` to strip CRLF. A stat line whose remaining length is 0 or 1 makes len-2 wrap, and buf[SIZE_MAX]/buf[SIZE_MAX-1] resolves to buf[-1]/buf[-2] - a NUL written immediately before the pool buffer. When conn->blen < NAMELEN the offset is arbitrary.","memcached STATS reply containing a matching stat keyword with no value and no CRLF, e.g. `STAT pid` truncated",f1c98dd0847c43375daf3789c936685adbc6d872 (svn r1936813),apr-util 1.6.4,apr-pool,blind,read-the-source,https://apr.apache.org/security_report.html,"Same CVE as the version() site, different write site - recorded separately because the arena consequence differs (a write, not a read). Buffer: `memcache/apr_memcache.c:420 conn->buffer = apr_palloc(conn->p, BUFFER_SIZE + 1);`. Fix adds `if (len < 2) return ...;` to all four helpers plus the CRLF check in get_server_line."
CVE-2026-34502#version,2026,apr-util,oob-read,apr_memcache_version (memcache/apr_memcache.c),"A memcached server (or an attacker who can answer on its port) replies with a line beginning `VERSION` but shorter than MS_VERSION_LEN+2. Pre-fix: `apr_pstrmemdup(p, conn->buffer+MS_VERSION_LEN+1, conn->blen - MS_VERSION_LEN - 2)` - the apr_size_t subtraction underflows and apr_pstrmemdup memcpy's ~SIZE_MAX bytes out of the 513-byte connection buffer.",memcached reply `VERSION\r\n` truncated so that conn->blen < 9,"f1c98dd0847c43375daf3789c936685adbc6d872 (svn r1936813; trunk r1936811, 1.7.x r1936812)",apr-util 1.6.4,apr-pool,blind,read-the-source,https://apr.apache.org/security_report.html,"Affects apr-util 1.3.0-1.6.3. Source buffer: `memcache/apr_memcache.c:420 conn->buffer = apr_palloc(conn->p, BUFFER_SIZE + 1);` with BUFFER_SIZE 512 (:22), out of the per-connection sub-pool created at :415. The over-read starts inside a pool memnode and walks off it; a bump allocator gives the buffer no upper bound of its own. Fix adds a `conn->blen < MS_VERSION_LEN + 2` guard plus CRLF validation in get_server_line (:678)."
OSV-2021-1577,2021,httpd/apreq,oob-read,"apreq_header_attribute (server/apreq_util.c), via create_multipart_context / apreq_parse_multipart","ASAN verdict 'Heap-buffer-overflow READ 1'. In the attribute scanner, a name terminated by ';' or ',' set `v = hde + 1` (pointing at the byte after the delimiter) and the loop tail then did `hdr = v + 1`, skipping TWO characters. For a Content-Type ending in ';' the delimiter is the last character, v is the NUL, and hdr becomes one byte past the allocation; `done` is not set for ';' so the do-while runs again and `switch (*hde)` reads that byte.","Content-Type header value ending in a semicolon, e.g. 'multipart/form-data;'","6b1247e8a6ce5708d57187cb33db5f6da96f86dc (httpd trunk r1895023, syncing libapreq r1895020/r1895021)","httpd trunk, 2021-11-14",system-malloc,caught,read-the-source,https://api.osv.dev/v1/vulns/OSV-2021-1577,"CONTROL-GROUP row as fuzzed; blind as deployed. Under the fuzzer the content_type string is `projects/apache-httpd/fuzz_preq.c:52 char *new_str2 = af_gb_get_null_terminated(&data2, &size2);` assigned at :64 `parser.content_type = new_str2;` -> `ada_fuzz_header.h:39 char *new_s = malloc(STR_SIZE + 1);`, a 76-byte malloc, so ASAN's redzone caught the +1 read. In httpd itself the same pointer is `modules/apreq/filter.c:144 const char *ct_header = apr_table_get(r->headers_in, ""Content-Type"");`, whose value string came from `server/protocol.c:348 *s = apr_palloc(p, current_alloc + 1);` on r->pool - bump-carved, so reading one byte past it just returns the next header in the same memnode. The fix sets v = hde (not hde+1) so hdr = v+1 lands exactly on the NUL, and separately rejects an absent/empty boundary before `ctx->bdry[blen] = 0` in create_multipart_context."
CVE-2017-7668,2017,httpd/core,oob-read,ap_find_token,"Send a request whose Connection: (or TE:, Upgrade:, Vary:) header value ends in token-stop characters, so ap_find_token's skip loop reaches the terminating NUL. The strict-parsing rewrite added in 2.2.32/2.4.24 marks NUL itself as T_HTTP_TOKEN_STOP, but the skip loop kept the old assumption that NUL is not a stop character and tested only TEST_CHAR(*s, T_HTTP_TOKEN_STOP) with no `*s &&` guard, so it walks past the end of the header value into adjacent pool bytes until it finds a byte that is a valid token character. Result is a segfault or a wrong token match (e.g. spurious keep-alive/close).",,b2445f6e1bfa79c28bfab45e924c95fe350bf67f,2.4.26,apr-pool,blind,read-the-source,https://httpd.apache.org/security/vulnerabilities_24.html,"Affected 2.4.24-2.4.25 and 2.2.32-2.2.33; introduced by the 2.2.32/2.4.24 HTTP strict-parsing change, per the advisory. Bug site read at b2445f6e1b^:server/util.c:1685 -- `while (TEST_CHAR(*s, T_HTTP_TOKEN_STOP)) { ++s; }` inside ap_find_token() at :1672, under a stale comment at :1682-1684 claiming 'NUL isn't a token stop, so we don't need to test for it'. That comment is false in this revision: b2445f6e1b^:server/gen_test_char.c:128 sets the flag with `if (!c || !(apr_isalnum(c) || strchr(""!#$%&'*+-.^_`|~"", c))) flags |= T_HTTP_TOKEN_STOP;` -- the leading `!c` makes NUL a stop character. Fix is `while (*s && TEST_CHAR(...))`. ALLOCATION SITE of the string walked off the end: the header value is not copied out of the line buffer, so `line` points into the request-header read buffer, read at b2445f6e1b^:server/protocol.c:297 -- `*s = apr_palloc(r->pool, current_alloc);` in ap_rgetline_core(), grown at :308 by `new_buffer = apr_palloc(r->pool, new_size);`. SIZE EXPRESSIONS: current_alloc = len (the first bucket's length); new_size = current_alloc * 2, or (bytes_handled + len) * 2 when that is larger. Caller path read at b2445f6e1b^:modules/http/http_protocol.c:273 `ap_find_token(r->pool, conn, ""close"")` and :276 `ap_find_token(r->pool, conn, ""keep-alive"")` with conn from apr_table_get(r->headers_in, ""Connection""). The 2.2.x backport of the same fix is edb6db90d2474b5807b2459b3380bf947c5866fa (fixed in 2.2.34). fixed_in is 2.4.26: b2445f6e1b is contained in tag 2.4.26, though the CHANGES security entry only appears from tag 2.4.27. VERDICT blind: pool memnodes are packed with adjacent request objects and are reused without zeroing across apr_pool_clear, so the walk reads live neighbouring header data or stale bytes from a previous request with no bounds event."
